	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
189	4	8	3.54	3.50	50.0	72.72727272727273	25	1700
190	3	6	5.00	5.00	37.5	54.54545454545455	26	1700
191	2	4	6.52	6.50	25.0	36.36363636363637	27	1700
192	2	4	6.52	6.50	25.0	36.36363636363637	28	1700
193	2	4	6.52	6.50	25.0	36.36363636363637	29	1700
194	2	4	6.52	6.50	25.0	36.36363636363637	30	1700
195	9	15	2.92	2.50	87.5	63.63636363636363	18	1750
196	9	15	2.92	2.50	87.5	63.63636363636363	19	1750
197	9	14	2.24	2.00	87.5	72.72727272727273	20	1750
198	7	10	1.00	1.00	87.5	90.9090909090909	21	1750
199	6	10	1.58	1.50	75.0	90.9090909090909	22	1750
200	6	10	1.58	1.50	75.0	90.9090909090909	23	1750
201	6	10	1.58	1.50	75.0	90.9090909090909	24	1750
202	4	8	3.54	3.50	50.0	72.72727272727273	25	1750
203	3	6	5.00	5.00	37.5	54.54545454545455	26	1750
204	2	4	6.52	6.50	25.0	36.36363636363637	27	1750
205	2	4	6.52	6.50	25.0	36.36363636363637	28	1750
206	2	4	6.52	6.50	25.0	36.36363636363637	29	1750
207	2	4	6.52	6.50	25.0	36.36363636363637	30	1750
208	9	15	2.92	2.50	87.5	63.63636363636363	18	1800
209	9	15	2.92	2.50	87.5	63.63636363636363	19	1800
210	9	14	2.24	2.00	87.5	72.72727272727273	20	1800
211	7	10	1.00	1.00	87.5	90.9090909090909	21	1800
212	6	10	1.58	1.50	75.0	90.9090909090909	22	1800
213	6	10	1.58	1.50	75.0	90.9090909090909	23	1800
214	6	10	1.58	1.50	75.0	90.9090909090909	24	1800
215	4	8	3.54	3.50	50.0	72.72727272727273	25	1800
216	3	6	5.00	5.00	37.5	54.54545454545455	26	1800
217	2	4	6.52	6.50	25.0	36.36363636363637	27	1800
218	2	4	6.52	6.50	25.0	36.36363636363637	28	1800
219	2	4	6.52	6.50	25.0	36.36363636363637	29	1800
220	2	4	6.52	6.50	25.0	36.36363636363637	30	1800
221	9	15	2.92	2.50	87.5	63.63636363636363	18	1850
222	9	15	2.92	2.50	87.5	63.63636363636363	19	1850
223	9	14	2.24	2.00	87.5	72.72727272727273	20	1850
224	7	10	1.00	1.00	87.5	90.9090909090909	21	1850
225	6	10	1.58	1.50	75.0	90.9090909090909	22	1850
226	6	10	1.58	1.50	75.0	90.9090909090909	23	1850
227	6	10	1.58	1.50	75.0	90.9090909090909	24	1850
228	4	8	3.54	3.50	50.0	72.72727272727273	25	1850
229	3	6	5.00	5.00	37.5	54.54545454545455	26	1850
230	2	4	6.52	6.50	25.0	36.36363636363637	27	1850
231	2	4	6.52	6.50	25.0	36.36363636363637	28	1850
232	2	4	6.52	6.50	25.0	36.36363636363637	29	1850
233	2	4	6.52	6.50	25.0	36.36363636363637	30	1850
234	9	15	2.92	2.50	87.5	63.63636363636363	18	1900
235	9	15	2.92	2.50	87.5	63.63636363636363	19	1900
236	9	14	2.24	2.00	87.5	72.72727272727273	20	1900
237	7	10	1.00	1.00	87.5	90.9090909090909	21	1900
238	6	10	1.58	1.50	75.0	90.9090909090909	22	1900
239	6	10	1.58	1.50	75.0	90.9090909090909	23	1900
240	6	10	1.58	1.50	75.0	90.9090909090909	24	1900
241	4	8	3.54	3.50	50.0	72.72727272727273	25	1900
242	3	6	5.00	5.00	37.5	54.54545454545455	26	1900
243	2	4	6.52	6.50	25.0	36.36363636363637	27	1900
244	2	4	6.52	6.50	25.0	36.36363636363637	28	1900
245	2	4	6.52	6.50	25.0	36.36363636363637	29	1900
246	2	4	6.52	6.50	25.0	36.36363636363637	30	1900
