	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
221	9	8	2.24	2.00	87.5	72.72727272727273	1050	1500
222	9	8	2.24	2.00	87.5	72.72727272727273	1100	1500
223	9	8	2.24	2.00	87.5	72.72727272727273	1150	1500
224	9	8	2.24	2.00	87.5	72.72727272727273	1200	1500
225	8	6	3.54	2.50	100.0	54.54545454545455	500	1550
226	8	7	2.83	2.00	100.0	63.63636363636363	550	1550
227	8	7	2.83	2.00	100.0	63.63636363636363	600	1550
228	9	7	2.92	2.50	87.5	63.63636363636363	650	1550
229	9	7	2.92	2.50	87.5	63.63636363636363	700	1550
230	9	8	2.24	2.00	87.5	72.72727272727273	750	1550
231	9	8	2.24	2.00	87.5	72.72727272727273	800	1550
232	9	8	2.24	2.00	87.5	72.72727272727273	850	1550
233	9	8	2.24	2.00	87.5	72.72727272727273	900	1550
234	9	8	2.24	2.00	87.5	72.72727272727273	950	1550
235	9	8	2.24	2.00	87.5	72.72727272727273	1000	1550
236	9	8	2.24	2.00	87.5	72.72727272727273	1050	1550
237	9	8	2.24	2.00	87.5	72.72727272727273	1100	1550
238	9	8	2.24	2.00	87.5	72.72727272727273	1150	1550
239	9	8	2.24	2.00	87.5	72.72727272727273	1200	1550
240	8	6	3.54	2.50	100.0	54.54545454545455	500	1600
241	8	7	2.83	2.00	100.0	63.63636363636363	550	1600
242	8	7	2.83	2.00	100.0	63.63636363636363	600	1600
243	9	7	2.92	2.50	87.5	63.63636363636363	650	1600
244	9	7	2.92	2.50	87.5	63.63636363636363	700	1600
245	9	8	2.24	2.00	87.5	72.72727272727273	750	1600
246	9	8	2.24	2.00	87.5	72.72727272727273	800	1600
247	9	8	2.24	2.00	87.5	72.72727272727273	850	1600
248	9	8	2.24	2.00	87.5	72.72727272727273	900	1600
249	9	8	2.24	2.00	87.5	72.72727272727273	950	1600
250	9	8	2.24	2.00	87.5	72.72727272727273	1000	1600
251	9	8	2.24	2.00	87.5	72.72727272727273	1050	1600
252	9	8	2.24	2.00	87.5	72.72727272727273	1100	1600
253	9	8	2.24	2.00	87.5	72.72727272727273	1150	1600
254	9	8	2.24	2.00	87.5	72.72727272727273	1200	1600
255	8	6	3.54	2.50	100.0	54.54545454545455	500	1650
256	8	7	2.83	2.00	100.0	63.63636363636363	550	1650
257	8	7	2.83	2.00	100.0	63.63636363636363	600	1650
258	9	7	2.92	2.50	87.5	63.63636363636363	650	1650
259	9	7	2.92	2.50	87.5	63.63636363636363	700	1650
260	9	8	2.24	2.00	87.5	72.72727272727273	750	1650
261	9	8	2.24	2.00	87.5	72.72727272727273	800	1650
262	9	8	2.24	2.00	87.5	72.72727272727273	850	1650
263	9	8	2.24	2.00	87.5	72.72727272727273	900	1650
264	9	8	2.24	2.00	87.5	72.72727272727273	950	1650
265	9	8	2.24	2.00	87.5	72.72727272727273	1000	1650
266	9	8	2.24	2.00	87.5	72.72727272727273	1050	1650
267	9	8	2.24	2.00	87.5	72.72727272727273	1100	1650
268	9	8	2.24	2.00	87.5	72.72727272727273	1150	1650
269	9	8	2.24	2.00	87.5	72.72727272727273	1200	1650
270	8	6	3.54	2.50	100.0	54.54545454545455	500	1700
271	8	7	2.83	2.00	100.0	63.63636363636363	550	1700
272	8	7	2.83	2.00	100.0	63.63636363636363	600	1700
273	9	7	2.92	2.50	87.5	63.63636363636363	650	1700
274	9	7	2.92	2.50	87.5	63.63636363636363	700	1700
275	9	8	2.24	2.00	87.5	72.72727272727273	750	1700
276	9	8	2.24	2.00	87.5	72.72727272727273	800	1700
277	9	8	2.24	2.00	87.5	72.72727272727273	850	1700
278	9	8	2.24	2.00	87.5	72.72727272727273	900	1700
279	9	8	2.24	2.00	87.5	72.72727272727273	950	1700
280	9	8	2.24	2.00	87.5	72.72727272727273	1000	1700
281	9	8	2.24	2.00	87.5	72.72727272727273	1050	1700
282	9	8	2.24	2.00	87.5	72.72727272727273	1100	1700
283	9	8	2.24	2.00	87.5	72.72727272727273	1150	1700
284	9	8	2.24	2.00	87.5	72.72727272727273	1200	1700
285	8	6	3.54	2.50	100.0	54.54545454545455	500	1750
286	8	7	2.83	2.00	100.0	63.63636363636363	550	1750
287	8	7	2.83	2.00	100.0	63.63636363636363	600	1750
288	9	7	2.92	2.50	87.5	63.63636363636363	650	1750
289	9	7	2.92	2.50	87.5	63.63636363636363	700	1750
290	9	8	2.24	2.00	87.5	72.72727272727273	750	1750
291	9	8	2.24	2.00	87.5	72.72727272727273	800	1750
292	9	8	2.24	2.00	87.5	72.72727272727273	850	1750
293	9	8	2.24	2.00	87.5	72.72727272727273	900	1750
294	9	8	2.24	2.00	87.5	72.72727272727273	950	1750
295	9	8	2.24	2.00	87.5	72.72727272727273	1000	1750
296	9	8	2.24	2.00	87.5	72.72727272727273	1050	1750
297	9	8	2.24	2.00	87.5	72.72727272727273	1100	1750
298	9	8	2.24	2.00	87.5	72.72727272727273	1150	1750
299	9	8	2.24	2.00	87.5	72.72727272727273	1200	1750
