	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
242	3	2	3.54	3.50	42.86	42.86	29	1800
243	2	2	4.12	4.00	28.57	28.57	30	1800
244	2	2	4.12	4.00	28.57	28.57	31	1800
245	0	1	5.70	5.50	0.00	0.00	32	1800
246	0	0	6.08	6.00	0.00	0.00	33	1800
247	8	9	2.92	2.50	87.50	62.50	15	1850
248	8	6	1.00	1.00	87.50	62.50	16	1850
249	8	6	1.00	1.00	87.50	62.50	17	1850
250	8	6	1.00	1.00	87.50	62.50	18	1850
251	8	6	1.00	1.00	87.50	62.50	19	1850
252	5	5	1.41	1.00	71.43	71.43	20	1850
253	5	5	1.41	1.00	71.43	71.43	21	1850
254	3	5	2.83	2.00	42.86	42.86	22	1850
255	3	5	2.83	2.00	42.86	42.86	23	1850
256	3	5	2.83	2.00	42.86	42.86	24	1850
257	3	4	2.92	2.50	42.86	42.86	25	1850
258	3	2	3.54	3.50	42.86	42.86	26	1850
259	3	2	3.54	3.50	42.86	42.86	27	1850
260	3	2	3.54	3.50	42.86	42.86	28	1850
261	3	2	3.54	3.50	42.86	42.86	29	1850
262	2	2	4.12	4.00	28.57	28.57	30	1850
263	2	2	4.12	4.00	28.57	28.57	31	1850
264	0	1	5.70	5.50	0.00	0.00	32	1850
265	0	0	6.08	6.00	0.00	0.00	33	1850
266	8	10	3.61	3.00	87.50	62.50	15	1900
267	8	7	1.58	1.50	87.50	62.50	16	1900
268	8	7	1.58	1.50	87.50	62.50	17	1900
269	8	7	1.58	1.50	87.50	62.50	18	1900
270	8	7	1.58	1.50	87.50	62.50	19	1900
271	5	6	1.58	1.50	71.43	100.00	20	1900
272	5	6	1.58	1.50	71.43	100.00	21	1900
273	3	6	2.92	2.50	42.86	166.67	22	1900
274	3	6	2.92	2.50	42.86	166.67	23	1900
275	3	6	2.92	2.50	42.86	166.67	24	1900
276	3	5	2.83	2.00	42.86	42.86	25	1900
277	3	3	3.16	3.00	42.86	42.86	26	1900
278	3	3	3.16	3.00	42.86	42.86	27	1900
279	3	3	3.16	3.00	42.86	42.86	28	1900
280	3	3	3.16	3.00	42.86	42.86	29	1900
281	2	3	3.81	3.50	28.57	28.57	30	1900
282	2	3	3.81	3.50	28.57	28.57	31	1900
283	0	1	5.70	5.50	0.00	0.00	32	1900
284	0	0	6.08	6.00	0.00	0.00	33	1900
